2 1000
0.513927 0.494192 0.491653
0.477092 0.917478 -0.069383
0.286365 0.0502473 0.91547
0.267117 0.943805 0.0378811
0.22702 0.134908 0.930262
0.024264 0.894883 0.198596
0.750973 0.430913 0.250353
0.629762 0.250838 0.540481
0.978023 0.523775 -0.230869
0.898793 0.289809 0.108182
0.467158 0.865258 0.0330907
0.192557 0.107346 0.951399
0.331913 0.396317 0.732767
0.0293438 0.585969 0.655779
0.689278 0.444523 0.327296
0.34889 0.507918 0.620295
0.310718 0.36705 0.768729
0.258229 0.473044 0.709547
0.102442 0.878478 0.217782
0.585637 0.186837 0.622121
0.319441 0.225289 0.847202
0.262819 0.388089 0.780313
0.308482 0.761539 0.324896
0.306099 0.100211 0.896261
0.848587 0.552283 -0.0251169
0.858092 0.729681 -0.268756
0.0976657 0.828655 0.303792
0.899492 0.779171 -0.416192
0.425599 0.691023 0.341353
0.998712 0.777192 -0.601454
0.503819 0.585241 0.403659
0.907704 0.497021 -0.0709567
0.478701 0.754598 0.201427
0.360002 0.732418 0.333962
0.716652 0.91942 -0.358923
0.604663 0.169088 0.605792
0.969003 0.817999 -0.60809
0.865807 0.52572 -0.0260038
0.961702 0.811255 -0.583007
0.393983 0.646428 0.426908
0.735972 0.968549 -0.479742
0.478049 0.681162 0.307488
0.0489987 0.638387 0.590062
0.375552 0.156305 0.83453
0.179595 0.584246 0.626402
0.405897 0.465607 0.618458
0.164811 0.98251 0.00751227
0.960155 0.705323 -0.419378
0.411929 0.479279 0.600606
0.247427 0.752048 0.373204
0.238729 0.665095 0.500656
0.718171 0.80625 -0.165809
0.440899 0.463252 0.591006
0.355134 0.645445 0.457281
0.893784 0.396443 0.043983
0.553663 0.450687 0.490338
0.239213 0.633466 0.541497
0.0899279 0.41105 0.822951
0.519491 0.532431 0.446646
0.525469 0.914053 -0.111611
0.780725 0.231579 0.33684
0.0637132 0.94242 0.107784
0.397696 0.167449 0.813799
0.152822 0.702552 0.483066
0.865299 0.952256 -0.655534
0.145371 0.419307 0.803049
0.762289 0.606526 0.0510418
0.986997 0.171381 -0.00353366
0.729483 0.188762 0.432224
0.297101 0.464656 0.695826
0.834238 0.307057 0.209763
0.37644 0.311815 0.761065
0.342423 0.374793 0.742277
0.175719 0.564578 0.650375
0.351106 0.416651 0.703127
0.024515 0.871445 0.239982
0.470945 0.605037 0.412141
0.890396 0.991968 -0.776806
0.643513 0.678089 0.126086
0.86714 0.897549 -0.557527
0.163006 0.932219 0.104396
0.344729 0.177143 0.849782
0.243494 0.264737 0.870625
0.283405 0.848949 0.198966
0.680669 0.00206657 0.536686
0.609685 0.252477 0.564539
0.396274 0.930557 -0.02297
0.533324 0.767979 0.125773
0.668881 0.680226 0.089892
0.0531736 0.825035 0.316489
0.605283 0.950439 -0.269703
0.0718022 0.957947 0.0771821
0.817124 0.621721 -0.0542295
0.519997 0.893384 -0.0685325
0.453422 0.455556 0.586877
0.322794 0.889514 0.104568
0.797784 0.577738 0.0297605
0.480429 0.941261 -0.116784
0.277019 0.905975 0.102469
0.414132 0.103369 0.81781
0.961501 0.523974 -0.199033
0.772036 0.728411 -0.126622
0.922921 0.323247 0.043728
0.614572 0.0595894 0.61875
0.905594 0.229389 0.127281
0.678929 0.668834 0.091716
0.177685 0.838285 0.265707
0.115436 0.356564 0.859537
0.882151 0.390206 0.0695481
0.617483 0.147018 0.597101
0.968382 0.979015 -0.896234
0.649163 0.915431 -0.259427
0.217335 0.50429 0.698457
0.307346 0.961283 -0.0185262
0.810145 0.110769 0.331395
0.448034 0.419259 0.623488
0.836535 0.779302 -0.307102
0.91859 0.514473 -0.108491
0.0731473 0.0178094 0.994332
0.115663 0.0315127 0.985629
0.215997 0.993267 -0.0332338
0.371214 0.181958 0.829092
0.484795 0.107807 0.753351
0.638427 0.285574 0.510858
0.188361 0.508236 0.706217
0.583098 0.742721 0.108362
0.822989 0.352532 0.198411
0.969023 0.174089 0.0306877
0.795688 0.028853 0.366049
0.988584 0.961279 -0.901357
0.317894 0.37108 0.761243
0.322976 0.369806 0.75893
0.451623 0.114767 0.782866
0.424263 0.441454 0.625119
0.00277301 0.439085 0.807197
0.321414 0.408951 0.729452
0.00321453 0.11987 0.985621
0.284062 0.925423 0.0629002
0.928207 0.165558 0.111023
0.0415296 0.376773 0.856317
0.624144 0.129412 0.593697
0.687924 0.137537 0.507845
0.886253 0.962217 -0.711306
0.430416 0.374762 0.674295
0.268732 0.873078 0.165517
0.243188 0.340525 0.824903
0.947572 0.847137 -0.615534
0.779728 0.0245263 0.391423
0.531951 0.58298 0.377162
0.898551 0.925646 -0.664215
0.39918 0.357463 0.712875
0.833554 0.436184 0.114931
0.800787 0.282726 0.278807
0.295427 0.214162 0.866858
0.924195 0.364888 0.0127207
0.198325 0.538334 0.670864
0.122872 0.301506 0.893997
0.391794 0.863161 0.10145
0.503193 0.899688 -0.0626414
0.217948 0.218114 0.904925
0.933067 0.145412 0.108241
0.23173 0.117243 0.932555
0.467995 0.617265 0.399965
0.0928343 0.221591 0.942279
0.944276 0.924099 -0.745615
0.0707291 0.0291465 0.994148
0.896586 0.91993 -0.650137
0.76619 0.530056 0.131994
0.215232 0.265963 0.882939
0.954392 0.92614 -0.768599
0.624442 0.339294 0.494952
0.944258 0.607756 -0.260991
0.476177 0.448617 0.571999
0.5191 0.547518 0.430759
0.591887 0.317344 0.548963
0.418525 0.708402 0.323004
0.749125 0.670861 -0.0112422
0.923044 0.290439 0.0636352
0.575061 0.299601 0.579544
0.0556203 0.710971 0.491427
0.177358 0.724066 0.444273
0.288386 0.0233605 0.916288
0.382562 0.129626 0.836843
0.7495 0.7882 -0.18301
0.657556 0.77665 -0.0355648
0.94612 0.138349 0.0857168
0.425637 0.762976 0.2367
0.145703 0.389901 0.826748
0.251072 0.324 0.831987
0.467833 0.885247 -0.00252981
0.710412 0.301851 0.404201
0.911707 0.893036 -0.628723
0.436021 0.453861 0.603896
