2 1000
0.131013 0.581829 2.45114
0.096298 0.563842 2.39533
0.173186 0.806904 1.74639
0.617883 0.187937 3.25503
0.605427 0.577017 3.29649
0.925885 0.0017801 2.93158
0.278151 0.283566 2.96102
0.782314 0.425893 3.76017
0.816247 0.721849 3.0584
0.667815 0.274034 3.52385
0.373251 0.930092 1.67489
0.371272 0.431839 3.20641
0.296133 0.251794 2.93369
0.014934 0.962291 0.594418
0.859309 0.970323 2.17991
0.892542 0.917714 2.38459
0.762972 0.730844 2.96345
0.249501 0.367974 2.99411
0.291781 0.2756 2.97263
0.96039 0.318668 3.91647
0.548548 0.909935 2.00348
0.851582 0.124738 3.32413
0.964658 0.273846 3.85344
0.624528 0.406158 3.57909
0.64511 0.139273 3.13509
0.682989 0.957807 2.01661
0.304093 0.795635 2.06195
0.287187 0.799317 2.01615
0.921427 0.955894 2.28949
0.430824 0.851313 2.05213
0.189463 0.349598 2.85572
0.291621 0.540345 2.91066
0.469028 0.586661 3.08354
0.119826 0.406179 2.69087
0.4509 0.961544 1.69526
0.45426 0.255636 3.20141
0.173188 0.766426 1.90813
0.0205801 0.701483 1.61631
0.1503 0.947987 1.1699
0.4588 0.38975 3.35463
0.635988 0.711518 2.88621
0.72444 0.292327 3.62276
0.108234 0.16404 2.26806
0.425357 0.955308 1.67588
0.0395576 0.411909 2.39483
0.769808 0.820245 2.61584
0.663348 0.608596 3.27864
0.394507 0.873126 1.91244
0.241898 0.252175 2.8298
0.0201352 0.947708 0.679216
0.499954 0.423294 3.40667
0.172604 0.446913 2.80749
0.0233557 0.199787 2.02241
0.431414 0.562256 3.09233
0.167426 0.59855 2.49808
0.933269 0.67115 3.37337
0.601273 0.188279 3.23475
0.538469 0.0319716 2.59515
0.356816 0.931649 1.64248
0.591884 0.778794 2.56509
0.828831 0.212316 3.5716
0.295198 0.787665 2.07757
0.474211 0.761985 2.47077
0.122452 0.84625 1.45885
0.26512 0.04461 2.20729
0.155649 0.612501 2.42681
0.415334 0.297835 3.21779
0.411335 0.52134 3.15322
0.514341 0.170372 3.0643
0.850838 0.161952 3.44826
0.273769 0.621582 2.65583
0.855433 0.894802 2.42601
0.547343 0.579744 3.21258
0.322084 0.278497 3.03251
0.27409 0.678734 2.4609
0.73699 0.324871 3.68038
0.104965 0.178913 2.30408
0.832647 0.588908 3.53249
0.702338 0.195965 3.38213
0.201335 0.812982 1.7873
0.227752 0.173918 2.59537
0.997346 0.188677 3.68242
0.763871 0.853767 2.47791
0.705888 0.844321 2.44683
0.282879 0.752254 2.19591
0.95737 0.827082 2.79094
0.0585165 0.331289 2.45379
0.449054 0.393599 3.34022
0.566816 0.292861 3.42706
0.312055 0.525461 2.97951
0.890573 0.409038 3.88527
0.291609 0.0893342 2.4298
0.37002 0.512197 3.10451
0.124096 0.934804 1.14187
0.777793 0.483268 3.69894
0.80859 0.982725 2.08857
0.962121 0.642409 3.50303
0.484058 0.89098 1.9816
0.0203799 0.714216 1.56641
0.0819385 0.509454 2.46541
0.320215 0.525482 2.99399
0.0894791 0.707587 1.90451
0.1645 0.818326 1.67984
0.132056 0.243154 2.55315
0.477551 0.344419 3.36351
0.592526 0.805238 2.46024
0.796521 0.946609 2.18389
0.702757 0.350561 3.66244
0.51202 0.577986 3.16881
0.264443 0.259101 2.88906
0.39651 0.0399819 2.41863
0.311121 0.360383 3.10722
0.0298915 0.839996 1.12912
0.0856147 0.565073 2.35677
0.884019 0.105836 3.29126
0.98549 0.412876 3.98218
0.445637 0.259978 3.19748
0.286904 0.265033 2.94369
0.956834 0.350181 3.94193
0.475774 0.627772 2.96908
0.672577 0.551136 3.44603
0.599479 0.792155 2.5215
0.9553 0.185913 3.63177
0.167855 0.806021 1.737
0.0563869 0.560812 2.25722
0.876863 0.219714 3.64283
0.741092 0.368638 3.71711
0.941875 0.990404 2.20984
0.168868 0.372402 2.81858
0.660949 0.745643 2.78433
0.820222 0.752762 2.9415
0.654327 0.190531 3.30827
0.402036 0.447052 3.24459
0.818948 0.206163 3.54423
0.207081 0.0120661 1.95837
0.737296 0.736402 2.91205
0.271836 0.501407 2.9497
0.0652261 0.0597329 1.74745
0.227668 0.00446787 1.97216
0.0984161 0.709364 1.9269
0.576597 0.939773 1.93968
0.564862 0.49263 3.42431
0.270455 0.41495 3.03615
0.492593 0.335559 3.37769
0.0500818 0.935819 0.881548
0.568783 0.851889 2.24552
0.122457 0.756458 1.81538
2.82411e-05 0.539929 1.84217
0.961777 0.195354 3.66569
0.137271 0.120327 2.20394
0.162906 0.362825 2.8001
0.989882 0.4195 3.98412
0.240782 0.967206 1.31659
0.697201 0.280852 3.57155
0.712722 0.116827 3.13894
0.610165 0.97506 1.87432
0.0430331 0.557967 2.20422
0.820387 0.152991 3.38598
0.389009 0.751394 2.38301
0.595121 0.332121 3.51367
0.389501 0.166344 2.86555
0.185379 0.6344 2.42905
0.676713 0.0214149 2.73081
0.69714 0.598184 3.3507
0.467551 0.717769 2.63478
0.223131 0.352259 2.93168
0.369925 0.334774 3.18971
0.349184 0.618942 2.79954
0.897522 0.648873 3.41411
0.541787 0.928912 1.92908
0.650862 0.775591 2.65274
0.627344 0.652285 3.09175
0.143705 0.907775 1.28798
0.237325 0.657615 2.46349
0.0152892 0.0390938 1.40304
0.684101 0.975984 1.96359
0.205372 0.0121977 1.95513
0.220768 0.0860523 2.27717
0.640373 0.871275 2.26368
0.309388 0.935435 1.54769
0.784874 0.456479 3.73949
0.771308 0.918453 2.24904
0.986474 0.819502 2.85044
0.479639 0.217615 3.14974
0.649747 0.00528221 2.63326
0.0177019 0.959814 0.623668
0.697108 0.74768 2.82016
0.833799 0.677134 3.2459
0.0477 0.131855 1.94011
0.842553 0.470656 3.78759
0.749731 0.504422 3.63353
0.322341 0.682679 2.53491
0.275299 0.0830136 2.37537
0.636455 0.763635 2.68251
0.246563 0.390523 2.99306
0.953653 0.558572 3.74095
0.302494 0.971307 1.42302
0.556362 0.228435 3.28359
0.0243276 0.00716273 1.34059
0.374384 0.623785 2.8261
0.191987 0.0866164 2.2159
0.0542449 0.547781 2.2795
0.241695 0.0335708 2.11713
0.319716 0.628026 2.7196
0.582144 0.232335 3.32719
0.528317 0.0866199 2.7933
0.7197 0.0539717 2.91092
0.895861 0.767174 2.96583
0.257122 0.524021 2.87932
0.285357 0.571988 2.82205
0.613143 0.160703 3.16552
0.754647 0.192821 3.43446
0.569708 0.30249 3.44518
0.36003 0.705568 2.51397
0.246987 0.294524 2.91783
0.912194 0.136456 3.4293
0.100424 0.652284 2.14145
0.351006 0.991807 1.44994
0.711246 0.742172 2.85875
0.583321 0.952083 1.90908
0.985884 0.186112 3.6634
0.281974 0.570816 2.81878
0.379371 0.512535 3.11916
0.133911 0.684666 2.12399
0.109127 0.135067 2.17505
0.658681 0.517214 3.50169
0.0709772 0.00105843 1.53706
0.107309 0.245118 2.48592
0.724658 0.0862013 3.04055
0.16928 0.89578 1.39555
0.590006 0.711749 2.82659
0.528888 0.853571 2.18517
0.510151 0.593651 3.12247
0.788135 0.0290581 2.89151
0.590365 0.899909 2.09451
0.958922 0.882258 2.58067
0.622592 0.018857 2.65345
0.349918 0.500169 3.09209
0.144563 0.664935 2.22385
0.664549 0.0100009 2.67039
0.286641 0.703172 2.39378
